doc,rank,term,count
physics_chapters/chapter_11.md,19,b,57
physics_chapters/chapter_11.md,20,pressures,54
physics_chapters/chapter_12.md,1,flow,286
physics_chapters/chapter_12.md,2,pressure,174
physics_chapters/chapter_12.md,3,fluid,163
physics_chapters/chapter_12.md,4,water,118
physics_chapters/chapter_12.md,5,speed,106
physics_chapters/chapter_12.md,6,rate,102
physics_chapters/chapter_12.md,7,blood,88
physics_chapters/chapter_12.md,8,equation,77
physics_chapters/chapter_12.md,9,bernoulli,76
physics_chapters/chapter_12.md,10,laminar,71
physics_chapters/chapter_12.md,11,viscosity,68
physics_chapters/chapter_12.md,12,figure,65
physics_chapters/chapter_12.md,13,tube,58
physics_chapters/chapter_12.md,14,velocity,54
physics_chapters/chapter_12.md,15,air,51
physics_chapters/chapter_12.md,16,example,48
physics_chapters/chapter_12.md,17,hose,47
physics_chapters/chapter_12.md,18,average,44
physics_chapters/chapter_12.md,19,radius,43
physics_chapters/chapter_12.md,20,resistance,42
physics_chapters/chapter_13.md,1,temperature,398
physics_chapters/chapter_13.md,2,pressure,274
physics_chapters/chapter_13.md,3,gas,230
physics_chapters/chapter_13.md,4,water,169
physics_chapters/chapter_13.md,5,molecules,118
physics_chapters/chapter_13.md,6,volume,115
physics_chapters/chapter_13.md,7,vapor,112
physics_chapters/chapter_13.md,8,air,90
physics_chapters/chapter_13.md,9,thermal,89
physics_chapters/chapter_13.md,10,expansion,79
physics_chapters/chapter_13.md,11,change,78
physics_chapters/chapter_13.md,12,number,78
physics_chapters/chapter_13.md,13,law,75
physics_chapters/chapter_13.md,14,liquid,70
physics_chapters/chapter_13.md,15,ideal,66
physics_chapters/chapter_13.md,16,atoms,66
physics_chapters/chapter_13.md,17,b,65
physics_chapters/chapter_13.md,18,energy,63
physics_chapters/chapter_13.md,19,figure,61
physics_chapters/chapter_13.md,20,point,57
physics_chapters/chapter_14.md,1,heat,462
physics_chapters/chapter_14.md,2,temperature,297
physics_chapters/chapter_14.md,3,transfer,223
physics_chapters/chapter_14.md,4,energy,181
physics_chapters/chapter_14.md,5,water,174
physics_chapters/chapter_14.md,6,change,109
physics_chapters/chapter_14.md,7,rate,107
physics_chapters/chapter_14.md,8,air,106
physics_chapters/chapter_14.md,9,ice,83
physics_chapters/chapter_14.md,10,radiation,76
physics_chapters/chapter_14.md,11,phase,67
physics_chapters/chapter_14.md,12,conduction,58
physics_chapters/chapter_14.md,13,calculate,54
physics_chapters/chapter_14.md,14,convection,54
physics_chapters/chapter_14.md,15,figure,53
physics_chapters/chapter_14.md,16,mass,52
physics_chapters/chapter_14.md,17,transferred,50
physics_chapters/chapter_14.md,18,body,48
physics_chapters/chapter_14.md,19,surface,47
physics_chapters/chapter_14.md,20,thermal,46
physics_chapters/chapter_15.md,1,heat,497
physics_chapters/chapter_15.md,2,work,329
physics_chapters/chapter_15.md,3,transfer,300
physics_chapters/chapter_15.md,4,energy,264
physics_chapters/chapter_15.md,5,entropy,182
physics_chapters/chapter_15.md,6,system,170
physics_chapters/chapter_15.md,7,engine,147
physics_chapters/chapter_15.md,8,process,137
physics_chapters/chapter_15.md,9,temperature,135
physics_chapters/chapter_15.md,10,thermodynamics,119
physics_chapters/chapter_15.md,11,law,119
physics_chapters/chapter_15.md,12,efficiency,112
physics_chapters/chapter_15.md,13,gas,95
physics_chapters/chapter_15.md,14,figure,91
physics_chapters/chapter_15.md,15,processes,89
physics_chapters/chapter_15.md,16,internal,86
physics_chapters/chapter_15.md,17,change,81
physics_chapters/chapter_15.md,18,cold,75
physics_chapters/chapter_15.md,19,b,73
physics_chapters/chapter_15.md,20,carnot,73
physics_chapters/chapter_16.md,1,waves,180
physics_chapters/chapter_16.md,2,motion,146
physics_chapters/chapter_16.md,3,simple,145
physics_chapters/chapter_16.md,4,frequency,142
physics_chapters/chapter_16.md,5,energy,137
physics_chapters/chapter_16.md,6,wave,137
physics_chapters/chapter_16.md,7,harmonic,131
physics_chapters/chapter_16.md,8,force,131
physics_chapters/chapter_16.md,9,system,101
physics_chapters/chapter_16.md,10,figure,99
physics_chapters/chapter_16.md,11,period,96
physics_chapters/chapter_16.md,12,amplitude,88
physics_chapters/chapter_16.md,13,spring,75
physics_chapters/chapter_16.md,14,time,70
physics_chapters/chapter_16.md,15,pendulum,64
physics_chapters/chapter_16.md,16,object,63
physics_chapters/chapter_16.md,17,equilibrium,62
physics_chapters/chapter_16.md,18,oscillator,61
physics_chapters/chapter_16.md,19,damping,58
physics_chapters/chapter_16.md,20,constant,58
physics_chapters/chapter_17.md,1,sound,403
physics_chapters/chapter_17.md,2,frequency,205
physics_chapters/chapter_17.md,3,intensity,153
physics_chapters/chapter_17.md,4,speed,123
physics_chapters/chapter_17.md,5,figure,108
physics_chapters/chapter_17.md,6,ultrasound,96
physics_chapters/chapter_17.md,7,air,95
physics_chapters/chapter_17.md,8,wave,92
physics_chapters/chapter_17.md,9,db,85
physics_chapters/chapter_17.md,10,source,81
physics_chapters/chapter_17.md,11,frequencies,78
physics_chapters/chapter_17.md,12,level,73
physics_chapters/chapter_17.md,13,hearing,71
physics_chapters/chapter_17.md,14,sounds,70
physics_chapters/chapter_17.md,15,doppler,65
physics_chapters/chapter_17.md,16,tube,63
physics_chapters/chapter_17.md,17,waves,59
physics_chapters/chapter_17.md,18,wavelength,58
physics_chapters/chapter_17.md,19,end,55
physics_chapters/chapter_17.md,20,moving,51
physics_chapters/chapter_18.md,1,charge,379
physics_chapters/chapter_18.md,2,field,300
physics_chapters/chapter_18.md,3,electric,237
physics_chapters/chapter_18.md,4,charges,219
